,Titres,Auteurs,Occurrences dans les sous-titres de vidéos
627,insatiable,Daisy Buchanan,3
629,instants,Bruno Combes,28
637,j'ai oublié,Bulle Ogier,8
639,j'ai un nom,Chanel Miller,1
640,j'étais là,Driver,4
664,je vais bien,Régis Franc,1
666,jeanne,Alix de Maistre,8
668,jeudi,Eden Levin,18
674,jouir,Sarah Barmak,25
680,judoka,Thierry Frémaux,1
682,juliette,Abd al Malik,1
696,l'abîme,Nicolas Chemla,5
706,l'ami,Tiffany Tavernier,27
730,l'autre bout du fil,Andrea Camilleri,1
734,l'avenir,Catherine Leroux,39
738,l'embarras du choix,Laure Manel,2
757,l'escalade,Dugomier,1
760,l'examen,Sylvain Neuvel,4
777,l'illusion,Maxime Chattam,14
784,l'indésir,Joséphine Tassy,1
790,l'institut,Stephen King,7
794,l'obscur,Philippe Testa,23
801,l'ours,Andrew Krivak,1
803,l'âge d'or,Renée Rosen,3
816,l'équarrisseur,Nadine Matheson,2
824,l'éveil,Kate Chopin,6
845,la chaleur,Victor Jestin,21
848,la chasse,Gabriel Bergmoser,10
867,la colère,S. A. Cosby,34
882,la crue,Amy Hassinger,1
887,la datcha,Agnès Martin-Lugand,1
901,la dissociation,Nadia Yala Kisukidi,2
907,la déchirure,Henry Bauchau,2
908,la décision,Karine Tuil,17
912,la dépendance,Rachel Cusk,5
921,la faille,Franck Thilliez,1
924,la famille,Shilpi Somaya Gowda,43
956,la foudre,Pierric Bailly,7
968,la grâce,Thibault de Montaigu,13
986,la maison,Emma Becker,64
991,la maison des feuilles,Mark Z. Danielewski,1
1052,la proie,Deon Meyer,8
1068,la rivière,Peter Heller,16
1071,la route,Cormac McCarthy,32
1072,la rumeur,Lesley Kara,5
1088,la seconde épouse,Rebecca Fleet,1
1090,la sentence,Louise Erdrich,5
1096,la souricière,Danielle Thiéry,2
1103,la tentation,Luc Lang,8
1105,la tour,Doan Bui,14
1109,la traversée,Patrick de Saint-Exupéry,1
1140,la volonté,Marc Dugain,29
1142,la vraie vie,Adeline Dieudonné,8
1146,labyrinthes,Franck Thilliez,1
1158,le bal,Diane Peylin,12
1164,le bon sens,Michel Bernard,4
1176,le cadeau,Sebastian Fitzek,5
1194,le champ,Robert Seethaler,26
1212,le choix,Viola Ardone,37
1229,le consentement,Vanessa Springora,2
1232,le couteau,Jo Nesbø,3
1239,le culte,"Camilla Läckberg, Henrik Fexeus",2
1246,le dernier enfant,Philippe Besson,1
1254,le diable est dans les détails,Leïla Slimani,1
1259,le disparu,Anne-Sophie Martin,1
1275,le fils de l'homme,Jean-Baptiste Del Amo,2
1284,le grand feu,Léonor de Recondo,1
1294,le jeudi suivant,Richard Osman,2
1296,le jeune homme,Annie Ernaux,12
1301,le jour où,Amélie Antoine,22
1307,le livre de l'intranquillité,Fernando Pessoa,1
1309,le livre de m,Peng Shepherd,6
1322,le lâche,Jarred McGinnis,4
1348,le nouveau,Keigo Higashino,18
1367,le pion,Paco Cerdà,1
1370,le plan,Fabrice Rose,44
1386,le péché,Zakhar Prilepine,10
1394,le retournement,Manuel Carcassonne,1
1408,le sanctuaire,Laurine Roux,1
1412,le secret,Morgane Ortin,30
1416,le serment,Arttu Tuominen,9
1419,le silence,Dennis Lehane,25
1447,le tombeau,Michael Hjorth,3
1461,le vieux,Michel Rostain,14
1489,les beatles,Frédéric Granier,2
1502,les chutes,Joyce Carol Oates,2
1503,les cicatrices,Claire Favan,1
1505,les cinq,Mathieu Rochelle,16
1510,les conditions idéales,Mokhtar Amoudi,2
1511,les confins,Eliott de Gastines,2
1541,les employés,Olga Ravn,9
1595,les jours heureux,Adélaïde de Clermont-Tonnerre,1
1599,les liaisons dangereuses,Pierre Choderlos de Laclos,1
1603,les loups,Benoît Vitkine,7
1635,les oiseaux,Tarjei Vesaas,19
1644,les passagers,Gilles Verdet,1
1652,les plaines,Federico Falco,2
1653,les ponts,Tarjei Vesaas,2
1654,les possibles,Virginie Grimaldi,2
1673,les sables,Basile Galais,3
1674,les saisons,Maurice Pons,7
1695,les sources,Marie-Hélène Lafon,11
1697,les survivants,Jane Harper,2
1723,les éclats,Bret Easton Ellis,2
1725,les élus,Veronica Roth,3
1730,leur domaine,Jo Nesbø,3
1736,lisière,Kapka Kassabova,3
1741,lore,Alexandra Bracken,51
1754,luna,Serena Giuliano,6
1774,ma meilleure amie,Fabienne Jacob,1
1781,madame bovary,Gustave Flaubert,1
1788,magnifique,Jean-Félix de La Ville Baugé,54
1805,marguerite,Jacky Durand,1
1808,mary,Anne Eekhout,4
1811,matrices,Céline Denjean,2
1821,mes parents,Hervé Guibert,19
1835,misery,Stephen King,1
1840,modifié,Sébastien L. Chauzu,14
1852,mon garçon,Xavier de Moulins,8
1853,mon mari,Maud Ventura,11
1856,mon territoire,Tess Sharpe,4
1859,monstres,Frédéric Richaud,16
1874,murmur,Caroline Deyns,16
1881,mécano,Mattia Filice,1
1893,napoléon à sainte-hélène,Pierre Branda,1
1899,nature humaine,Serge Joncour,1
1900,naufrage,Vincent Delecroix,9
1901,ne dis rien,Patrick Radden Keefe,2
1909,noa,Marc Levy,6
1911,noir,Sylvain Tesson,74
1912,noise,Daniel Kahneman,7
1929,nous autres,Evgueni Zamiatine,3
1940,numéro deux,David Foenkinos,1
1943,odes,David Van Reybrouck,63
1946,ogresse,Aylin Manço,31
1947,ohio,Stephen Markley,1
1969,otage,Clare Mackintosh,14
1982,panorama,Lilia Hassaine,2
1983,papa,Hélène Delforge et Quentin Gréban,35
1991,paradis,Abdulrazak Gurnah,27
1999,pas dormir,Marie Darrieussecq,1
2009,performance,Simon Liberati,14
2016,petite,Edward Carey,134
2018,petite soeur,Marie Nimier,2
2020,petites choses,Benoît Coquil,13
2027,pipelines,Etgar Keret,1
2035,plus jamais,Megan Nolan,27
2049,pour napoléon,Thierry Lentz,1
2052,pour rien au monde,Ken Follett,1
2057,poursuite,Joyce Carol Oates,21
2062,première personne du singulier,Patrice Franceschi,1
2073,qi,Christina Dalcher,5
2084,quelqu'un de bien,Françoise Bourdin,2
2087,qui ne tente rien,Jeffrey Archer,1
2088,qui sait,Pauline Delabroy-Allard,21
2094,recalé,Michael Hjorth,2
2095,regarde,Hervé Commère,122
2106,reste,Adeline Dieudonné,133
2122,rita,Marie Pavlenko,83
2130,rouge,Koz,62
2140,résine,Ane Riel,4
2142,résistante,Jacqueline Fleury-Marié,3
2143,révolution,Florent Grouazel,22
2149,s'adapter,Clara Dupont-Monod,9
2153,sa préférée,Sarah Jollien-Fardel,1
2154,sabre,Emmanuel Ruben,7
2155,sacrifices,Ellison Cooper,12
2161,sanction,Ferdinand von Schirach,6
2164,sans compter,Philippe Djian,10
2172,satisfaction,Nina Bouraoui,29
2175,sauvage,Julia Kerninon,22
2178,scarlett,François-Guillaume Lorrain,1
2182,sel,Jussi Adler-Olsen,96
2186,serena,Ron Rash,1
2187,serge,Yasmina Reza,7
2198,si j'étais toi,Amber Garza,1
2204,sidérations,Richard Powers,4
2213,soeurs,Daisy Johnson,8
2215,soif,Amélie Nothomb,27
2220,soleil levant,Alexandre Galien,3
2221,solitudes,Niko Tackian,2
2226,son empire,Claire Castillon,5
2227,son fils,Justine Lévy,29
2229,sororité,Chloé Delaume,1
2241,stella,Takis Würger,4
2244,stupeur,Zeruya Shalev,10
2248,superstitions,Ellison Cooper,5
2269,tenir sa langue,Polina Panassenko,1
2272,terminus,Tom Sweterlitsch,1
2293,tombeaux,Annette Wieviorka,2
2303,tout blanc,Frédéric Ploussard,4
2309,tout ira bien,Damian Barr,3
2320,travailler,James Suzman,68
2325,trois,Valérie Perrin,134
2328,trois soeurs,Laura Poggioli,1
2330,tromperie,Philip Roth,6
2334,trouble,Jeroen Olyslaegers,20
2335,trouver refuge,Christophe Ono-dit-Biot,2
2337,trust,Hernán Diaz,1
2342,tueurs,Jean-Michel Espitallier,1
2345,ténèbre,Paul Kawczak,18
2358,un empêchement,Jérôme Aumont,2
2370,un long silence,Mikal Gilmore,4
2371,un long voyage,Claire Duvivier,2
2373,un miracle,Victoria Mas,5
2405,une ascension,Stefan Hertmans,2
2407,une belle vie,Virginie Grimaldi,2
2446,une vie,Simone Veil,71
2450,une vie heureuse,Ginette Kolinka,4
2474,vierge,Constance Rutherford,21
2483,visite,Li-Cam,56
2502,western,Maria Pourchet,3
2503,william,Stéphanie Hochet,9
2509,yoga,Emmanuel Carrère,5
2517,à cache-cache,M. J. Arlidge,4
2526,à la ligne,Joseph Ponthus,2
2535,à pas de loup,Isabelle Villain,1
2537,à tout jamais,Colleen Hoover,12
2539,à vif,René Manzor,1
2547,éden,Monica Sabolo,49
2550,être un homme,Nicole Krauss,2
