,Titres,Auteurs,Occurrences dans les sous-titres de vidéos
4,1794,Niklas Natt och Dag,39
7,1991,Franck Thilliez,38
12,555,Hélène Gestern,86
15,666,Jérémy Wulc,80
25,abondance,Jakob Guanzon,25
33,adultère,Yves Ravey,5
36,aires,Marcus Malte,125
42,alice,Heidi Perks,6
45,alma,J.M.G. Le Clézio,16
55,animal,Cyril Dion,27
60,antoine,Christian Blanchard,4
65,apparition,Viktor Vincent,26
68,après,Stephen King,147
76,archie,Alia Cardyn,12
77,argonne,Stéphane Emond ,1
80,arène,Négar Djavadi,4
83,atmosphère,Jenny Offill,11
97,au printemps,Karl Ove Knausgård,6
117,avant elle,Johanna Krawczyk,5
122,avant que j'oublie,Anne Pauly,1
127,avers,J.M.G. Le Clézio,87
130,babel,R. F. Kuang,3
136,basculer,Florian Forestier,8
145,bestial,Anouk Shutterberg,2
159,bleu,Koz,32
161,blizzard,Marie Vingtras,2
175,broadway,Fabcaro,1
201,cavales,Aude Walker,1
205,ce matin-là,Gaëlle Josse,7
233,cent mille ans,Gaspard d’Allens,1
247,chavirer,Lola Lafon,1
248,chems,Johann Zarca,1
270,circé,Madeline Miller,1
276,cléa,Frank Leduc,2
281,colonne,Adrien Bosc,22
299,consolation,Anne-Dauphine Julliand,7
300,consolée,Beata Umubyeyi Mairesse,1
301,consumée,Antonia Crane,2
302,conte de fées,Stephen King,2
314,crime et châtiment,Fiodor Dostoïevski,1
320,cupidité,Deon Meyer,5
331,daddy,Emma Cline,1
338,dans la forêt,Jean Hegland,11
356,dante,Alessandro Barbero,36
392,des vivants,Simon Roussin,4
413,docile,Aro Sáinz de la Maza,6
415,douve,Victor Guilbert,2
426,duchess,Chris Whitaker,1
428,débarquer,Hugo Boris,3
434,déserter,Mathias Enard,1
436,eau douce,Akwaeke Emezi,3
440,elma,Eva Björg Ægisdóttir,2
446,emmène-moi,Fanny DL,1
449,en garde,Amélie Cordonnier,17
467,espionne,Danielle Steel,3
496,expiration,Ted Chiang,2
502,fantômes,Christian Kiefer,4
511,feu,Maria Pourchet,98
513,fille,Camille Laurens,74
514,fille a,Abigail Dean,14
534,fritz,Coline Pierré,2
552,gps,Lucie Rico,2
554,grande soeur,Gunnar Staalesen,2
557,gruffalo,Julia Donaldson,1
558,guerre,Louis-Ferdinand Céline,52
573,hazel,Sarah Koskievic,1
593,hors sol,Pierre Alféri,1
599,héloïse,Ophélie Cohen,1
600,héritage,Miguel Bonnefoy,18
601,héroïne,Tristan Saule,4
618,immortel,José Rodrigues dos Santos,10
619,impact,Olivier Norek,35
622,impossible,Erri De Luca,66
624,inconsolable,Adèle Van Reeth,1
