,Mois,Titre,Auteur,Doublons
660,Octobre 2022,Ogresse,Aylin Manço,False
661,Octobre 2022,La Pâqueline ou les mémoires d'une mère monstrueuse,Isabelle Duquesnoy,False
662,Octobre 2022,La Piste des cendres,Emmanuel Chastellière,False
663,Octobre 2022,Du plomb dans la tête,Olivier Bocquet,False
664,Octobre 2022,Quality Land,Marc-Uwe Kling,False
665,Octobre 2022,QI,Christina Dalcher,False
666,Octobre 2022,Recalé,Michael Hjorth,False
667,Octobre 2022,La rivière des disparues,Liz Moore,False
668,Octobre 2022,Le roman de Tyll Ulespiègle,Daniel Kehlmann,False
669,Octobre 2022,Rouge,Koz,False
670,Octobre 2022,Rouquine,Stéphane Poirier,False
671,Octobre 2022,S'adapter ou mourir,Antoine Renand,False
672,Octobre 2022,"La saga des Cazalet, tome 2 : A rude épreuve",Elizabeth Jane Howard,False
673,Octobre 2022,La semaine perpétuelle,Laura Vazquez,False
674,Octobre 2022,"Les sentiers des astres, tome 4 : Jaunes yeux",Stefan Platteau,False
675,Octobre 2022,Les sept châtiments,Jordi Llobregat,False
676,Octobre 2022,Ma soeur est morte à Chicago,Naomi Hirahara,False
677,Octobre 2022,Les soeurs du Titanic,Patricia Falvey,False
678,Octobre 2022,Le sourire de Jackrabbit,Joe R. Lansdale,False
679,Octobre 2022,Superstitions,Ellison Cooper,False
680,Octobre 2022,"Tabarnak, je passe Noël au Canada !",Natacha Pilorge,False
681,Octobre 2022,Un tueur sur mesure,Sam Millar,False
682,Octobre 2022,"Lady astronaute, tome 1 : Vers les étoiles",Mary Robinette Kowal,False
683,Octobre 2022,La Vie des morts,Jean-Marie Laclavetine,False
684,Octobre 2022,Vous reprendrez bien un peu de magie pour Noël ?,Carène Ponte,False
685,Novembre 2022,American Predator,Maureen Callahan,False
686,Novembre 2022,L'Autre bout du fil,Andrea Camilleri,False
687,Novembre 2022,Beauchamp Hall,Danielle Steel,False
688,Novembre 2022,Une bonne raison de se tuer,Philippe Besson,False
689,Novembre 2022,Ceux d'ici ne savent pas,Heather Young,False
690,Novembre 2022,"Le Chat du bibliothécaire, tome 4 : Sinistre réputation",Miranda James,False
691,Novembre 2022,La cité des jarres,Arnaldur Indriðason,False
692,Novembre 2022,La Dame du Ritz,Melanie Benjamin,False
693,Novembre 2022,En attendant Eden,Elliot Ackerman,False
694,Novembre 2022,Entre le paradis et l'enfer : La catabase,Jack Jakoli,False
695,Novembre 2022,L'épouse de lord Carew,Mary Balogh,False
696,Novembre 2022,Fantômes,Christian Kiefer,False
697,Novembre 2022,Mon garçon,Xavier de Moulins,False
698,Novembre 2022,Impossible,Erri De Luca,False
699,Novembre 2022,Rendez-vous au paradis,Heine Bakkeid,False
700,Novembre 2022,Modifié,Sébastien L. Chauzu,False
701,Novembre 2022,Un Noël à Eaton Square,Anne Perry,False
702,Novembre 2022,Les Patients du docteur Garcia,Almudena Grandes,False
703,Novembre 2022,Les Pionniers,Ernest Haycox,False
704,Novembre 2022,"Le cycle d'Alamänder, tome 1 : La porte des abysses",Alexis Flamand,False
705,Novembre 2022,Un reflet de lune,Estelle Faye,False
706,Novembre 2022,Rien à déclarer,Richard Ford,False
707,Novembre 2022,Romy et les lumières de Paris,Michelle Marly,False
708,Novembre 2022,Sanction,Ferdinand von Schirach,False
709,Novembre 2022,Le Sang et la Cendre,Jennifer L. Armentrout,False
710,Novembre 2022,Le second sommeil,Robert Harris,False
711,Novembre 2022,Les Terres du chacal,Amos Oz,False
712,Novembre 2022,Toutes ces vies jamais vécues,Anuradha Roy,False
713,Novembre 2022,Ultime preuve d'amour,Michel Canesi,False
714,Novembre 2022,La violoniste d'Auschwitz,Ellie Midwood,False
715,Janvier 2023,Arbre de l'oubli,Nancy Huston,False
716,Janvier 2023,Blizzard,Marie Vingtras,False
717,Janvier 2023,Bluebird,Geneviève Damas,False
718,Janvier 2023,Le bracelet,Andrea Maria Schenkel,False
719,Janvier 2023,Le Cahier volé à Vinkovci,Dragan Velikic,False
720,Janvier 2023,"Le cas Malaussène, tome 1 : Ils m'ont menti",Daniel Pennac,False
721,Janvier 2023,Ce n'était que la peste,Ludmila Oulitskaïa,False
722,Janvier 2023,Ce que nous confions au vent,Laura Imai Messina,False
723,Janvier 2023,La Chair du tigre,Zoltan Mayer,False
724,Janvier 2023,Le chant des glaces,Jean Krug,False
725,Janvier 2023,"Cormoran Strike, tome 5 : Sang trouble",Robert Galbraith,False
726,Janvier 2023,"Daevabad, tome 2 : Le royaume de cuivre",S.A. Chakraborty,False
727,Janvier 2023,Les Danseurs de l'aube,Marie Charrel,False
728,Janvier 2023,Dans la baie fauve,Sara Baume,False
729,Janvier 2023,Dans la nuit blanche,Olivier Adam,False
730,Janvier 2023,Le Désert des couleurs,Aurélie Wellenstein,False
731,Janvier 2023,Enfant de salaud,Sorj Chalandon,False
732,Janvier 2023,La fabrique des lendemains,Rich Larson,False
733,Janvier 2023,La femme et l'oiseau,Isabelle Sorente,False
734,Janvier 2023,La femme qui n'aimait plus les hommes,Isabelle Le Nouvel,False
735,Janvier 2023,La Folly (Te tenir la main pendant que tout brûle),Johana Gustawsson,False
736,Janvier 2023,Le Grand Marin,Catherine Poulain,False
737,Janvier 2023,Le Grand Monde,Pierre Lemaitre,False
738,Janvier 2023,Héroïne,Tristan Saule,False
739,Janvier 2023,Un jardin de mensonges,Susan Fletcher,False
740,Janvier 2023,Je suis la maman du bourreau,David Lelait-Helo,False
741,Janvier 2023,Les Lanceurs de feu,Jan Carson,False
742,Janvier 2023,Lazare,Lars Kepler,False
743,Janvier 2023,Leur domaine,Jo Nesbø,False
744,Janvier 2023,"Le Livre des Martyrs, tome 3 : Les Souvenirs de la Glace",Steven Erikson,False
745,Janvier 2023,La maison des Hollandais,Ann Patchett,False
746,Janvier 2023,La nature de la bête,Louise Penny,False
747,Janvier 2023,Nostalgie d'un autre monde,Ottessa  Moshfegh,False
748,Janvier 2023,Notre part de nuit,Mariana Enriquez,False
749,Janvier 2023,Nos vies en flammes,David Joy,False
750,Janvier 2023,Numéro deux,David Foenkinos,False
751,Janvier 2023,Otage,Clare Mackintosh,False
752,Janvier 2023,Paris-Briançon,Philippe Besson,False
753,Janvier 2023,Pour rien au monde,Ken Follett,False
754,Janvier 2023,Pour une heure oubliée,Frédéric Perrot,False
755,Janvier 2023,Premier sang,Amélie Nothomb,False
757,Janvier 2023,Le quatrième Roi Mage,Antonio Exposito,False
758,Janvier 2023,Les 4 enquêtrices de la supérette Gwangseon,Gunwoo Jeon,False
759,Janvier 2023,"Serpent & Dove, tome 1",Shelby Mahurin,False
760,Janvier 2023,Seule en sa demeure,Cécile Coulon,False
761,Janvier 2023,Seul entouré de chiens qui mordent,David Thomas,False
762,Janvier 2023,Six pieds sur terre,Antoine Dole,False
763,Janvier 2023,Les Soeurs d'Auschwitz,Heather Morris,False
764,Janvier 2023,Les Soeurs de Montmorts,Jérôme Loubry,False
765,Janvier 2023,Soleil amer,Lilia Hassaine,False
766,Janvier 2023,Le Stradivarius de Goebbels,Yoann Iacono,False
767,Janvier 2023,Ton absence n'est que ténèbres,Jón Kalman Stefánsson,False
768,Janvier 2023,Un si joli nulle part,Alexis Schaitkin,False
769,Janvier 2023,Voyage au bout de l'enfance,Rachid Benzine,False
770,Février 2023,L'âge des amours égoïstes,Jérôme Attal,False
771,Février 2023,Des âmes consolées,Mary Lawson,False
772,Février 2023,L'Amour au temps des scélérats,Anouar Benmalek,False
773,Février 2023,Après,Stephen King,False
774,Février 2023,L'arbre de colère,Guillaume Aubin,False
775,Février 2023,Avant que le monde ne se ferme,Alain Mascaro,False
776,Février 2023,Avec la permission de Gandhi,Abir Mukherjee,False
777,Février 2023,Les Beaux Mensonges (Spécial K),Céline de Roany,False
778,Février 2023,La Bibliothèque de minuit,Matt Haig,False
779,Février 2023,Le Carnet des rancunes,Jacques Expert,False
780,Février 2023,Le Cavalier de la Nuit,Robert Penn Warren,False
781,Février 2023,Le chant de la vengeance,Megan Chance,False
782,Février 2023,Chère petite,Romy Hausmann,False
783,Février 2023,"Chevauche-Brumes, tome 3 : L'Appel des grands cors",Thibaud Latil-Nicolas,False
784,Février 2023,La clé du sang,Ruth Ware,False
785,Février 2023,Les Collectionneurs d'images,Jóanes Nielsen,False
786,Février 2023,Consumée,Antonia Crane,False
787,Février 2023,Couleurs de l'adieu,Bernhard Schlink,False
788,Février 2023,Les Couleurs du silence,Delphine Giraud,False
789,Février 2023,La Cour des mirages,Benjamin Dierstein,False
790,Février 2023,La Décision,Karine Tuil,False
791,Février 2023,De silence et de loup,Patrice Gain,False
792,Février 2023,"Dix âmes, pas plus",Ragnar Jónasson,False
793,Février 2023,Les douleurs fantômes,Mélissa Da Costa,False
794,Février 2023,Eau douce,Akwaeke Emezi,False
795,Février 2023,L'Équarrisseur,Nadine Matheson,False
796,Février 2023,L'Étoile brisée,Nadeije Laneyrie-Dagen,False
797,Février 2023,Et l'amour continue...,Joffrey Gabriel,False
798,Février 2023,La Faussaire,Patricia Delahaie,False
799,Février 2023,Le Fracas et le Silence,Cory Anderson,False
800,Février 2023,Friday Black,Nana Kwame Adjei-Brenyah,False
801,Février 2023,"Hadès, Argentine",Daniel Loedel,False
802,Février 2023,L'Horizon d'une nuit,Camilla Grebe,False
803,Février 2023,Les Incorrigibles,Patrice Quélard,False
804,Février 2023,La jeune femme et l'ogre,John Connolly,False
805,Février 2023,Klara et le Soleil,Kazuo Ishiguro,False
806,Février 2023,Liberata,Gail Reitano,False
807,Février 2023,Lord Cochrane et le Trésor de Selkirk,Gilberto Villarroel,False
808,Février 2023,Lore,Alexandra Bracken,False
809,Février 2023,Les loups,Benoît Vitkine,False
810,Février 2023,Love after love,Ingrid Persaud,False
811,Février 2023,Lunch-box,Emilie de Turckheim,False
812,Février 2023,Macha ou l'Évasion,Jérôme Leroy,False
813,Février 2023,Les Maisons vides,Laurine Thizy,False
814,Février 2023,Matrices,Céline Denjean,False
815,Février 2023,Mahmoud ou la montée des eaux,Antoine Wauters,False
816,Février 2023,Mr Loverman,Bernardine Evaristo,False
817,Février 2023,Noces de jasmin,Hella Feki,False
818,Février 2023,La nuit tombée sur nos âmes,Frédéric Paulin,False
819,Février 2023,Les Nuits bleues,Anne-Fleur Multon,False
820,Février 2023,Le pain perdu,Edith Bruck,False
821,Février 2023,Parce que les fleurs sont blanches,Gerbrand Bakker,False
822,Février 2023,Par le fil je t'ai cousue,Fawzia Zouari,False
823,Février 2023,La plus secrète mémoire des hommes,Mohamed Mbougar Sarr,False
824,Février 2023,Les Promises,Jean-Christophe Grangé,False
825,Février 2023,Pour quand tu seras grande,Véronique Gallo,False
826,Février 2023,Une pluie de septembre,Anna Bailey,False
827,Février 2023,Rassemblez-vous en mon nom,Maya Angelou,False
828,Février 2023,Rendez-vous à Naples,Jean-Pierre Cabanes,False
829,Février 2023,Les saisons d'après,Christian Carayon,False
830,Février 2023,Sauvagines,Gabrielle Filteau-Chiba,False
831,Février 2023,Le Secret,Morgane Ortin,False
832,Février 2023,Set et match !,Liane Moriarty,False
833,Février 2023,Si tu me balances,Anders Roslund,False
834,Février 2023,Symphonie atomique,Etienne Cunge,False
835,Février 2023,La toute petite reine,Agnès Ledig,False
836,Février 2023,La Valse des petits pas,Claire Renaud,False
837,Février 2023,Le vertige de la peur,Linwood Barclay,False
838,Février 2023,Les Vies de Jacob,Christophe Boltanski,False
839,Février 2023,60 minutes,M. J. Arlidge,False
840,Mars 2023,L'Adieu au rivage,Manuela Piemonte,False
841,Mars 2023,Adultère,Yves Ravey,False
842,Mars 2023,L'Âge d'or,Renée Rosen,False
843,Mars 2023,À l'adresse du bonheur,Lorraine Fouchet,False
844,Mars 2023,America[s],Ludovic Manchette,False
845,Mars 2023,L'amour par temps de crise,Daniela Krien,False
847,Mars 2023,Aucune terre n'est promise,Lavie Tidhar,False
848,Mars 2023,Au royaume des cris,Mathieu Lecerf,False
849,Mars 2023,Au temps des requins et des sauveurs,Kawai Strong Washburn,False
850,Mars 2023,La Capture : Qui sème les coups récolte la vengeance,Nicolas Lebel,False
851,Mars 2023,Cemetery Road,Greg Iles,False
852,Mars 2023,Ce qu'elle a laissé derrière elle,Ellen Marie Wiseman,False
853,Mars 2023,Chair vive,Grisélidis Réal,False
854,Mars 2023,La Chasse,Gabriel Bergmoser,False
855,Mars 2023,Château de cartes,Miguel Szymanski,False
856,Mars 2023,Les Chats éraflés,Camille Goudeau,False
857,Mars 2023,La Colline aux disparus,Tana French,False
858,Mars 2023,Comme une éclipse,Sophie Rouvier,False
859,Mars 2023,Les Confins,Eliott de Gastines,False
860,Mars 2023,Dans l'Etat Sauvage,Diane Cook,False
861,Mars 2023,Dans la neige ardente,Olivier Gallien,False
862,Mars 2023,De notre monde emporté,Christian Astolfi,False
863,Mars 2023,Désenchantées,Marie Vareille,False
864,Mars 2023,Des matins heureux,Sophie Tal Men,False
865,Mars 2023,L'Enfant réparé,Grégoire Delacourt,False
866,Mars 2023,L'évangile de la colère,Ghislain Gilberti,False
867,Mars 2023,La Félicité du loup,Paolo Cognetti,False
868,Mars 2023,La femme que nous sommes,Emma Deruschi,False
869,Mars 2023,Feu,Maria Pourchet,False
870,Mars 2023,Le fils de l'homme,Jean-Baptiste Del Amo,False
871,Mars 2023,Fleur de sang,Emmanuel Robert-Espalieu,False
872,Mars 2023,Fuir l'Eden,Olivier Dorchamps,False
873,Mars 2023,Les Grandes Occasions,Alexandra Matine,False
874,Mars 2023,Grand Hotel Europa,Ilja Leonard Pfeijffer,False
875,Mars 2023,Guetter l'aurore,Julie Printzac,False
876,Mars 2023,"Histoire de la souffrance, tome 1 : Âmes",Tristan Garcia,False
877,Mars 2023,L'homme qui n'aimait plus les chats,Isabelle Aupy,False
878,Mars 2023,Iberio,David Zukerman,False
879,Mars 2023,Les Jardins de Zagarand,Éric de Kermel,False
880,Mars 2023,Kasso,Jacky Schwartzmann,False
881,Mars 2023,Le labyrinthe des femmes,Coline Gatel,False
882,Mars 2023,Là où vivent les hommes,Christian Signol,False
883,Mars 2023,Le Magasin des jouets cassés,Julien Rampin,False
884,Mars 2023,La Maison des solitudes,Constance Rivière,False
885,Mars 2023,Même les anges,Christèle Wurmser,False
886,Mars 2023,Nouvelle Babel,Michel Bussi,False
887,Mars 2023,Odette et le taxi jaune,Isabelle Artus,False
888,Mars 2023,La pêche au petit brochet,Juhani Karila,False
889,Mars 2023,La Petite Ritournelle de l'horreur,Cécile Cabanac,False
890,Mars 2023,Petiote,Benoît Philippon,False
891,Mars 2023,Le Plongeur,Minos Efstathiadis,False
892,Mars 2023,Les Poupées,Alexis Laipsker,False
893,Mars 2023,Le Premier jour du printemps,Nancy Tucker,False
894,Mars 2023,Sarà perché ti amo,Serena Giuliano,False
895,Mars 2023,Semia,Audrey Gloaguen,False
896,Mars 2023,Sidérations,Richard Powers,False
897,Mars 2023,Solak,Caroline Hinault,False
898,Mars 2023,Le Souffle des rêves,Clarisse Sabard,False
899,Mars 2023,La Souricière,Danielle Thiéry,False
900,Mars 2023,Les Survivants,Jane Harper,False
901,Mars 2023,Terra Nullius,Victor Guilbert,False
902,Mars 2023,Le Tour des arènes,Anny Duperey,False
903,Mars 2023,Un grain de moutarde,Laila Ibrahim,False
904,Mars 2023,Une ombre familière,Amy Engel,False
905,Mars 2023,Un prénom en trop,Christophe Carlier,False
906,Mars 2023,Un tesson d'éternité,Valérie Tong Cuong,False
907,Mars 2023,Une vérité changeante,Gianrico Carofiglio,False
908,Mars 2023,Rien ne t'appartient,Nathacha Appanah,False
909,Mars 2023,La ville nous appartient,Justin Fenton,False
910,Avril 2023,Les Ailes collées,Sophie de Baere,False
911,Avril 2023,Aires,Marcus Malte,False
912,Avril 2023,Alba Nera,Giancarlo De Cataldo,False
913,Avril 2023,Aminata,Lawrence Hill,False
914,Avril 2023,Apparition,Viktor Vincent,False
915,Avril 2023,Appia,Paolo Rumiz,False
916,Avril 2023,Après l'océan,Laurence Peyrin,False
917,Avril 2023,Autopsie,Patricia Cornwell,False
918,Avril 2023,Berlin Requiem,Xavier-Marie Bonnot,False
919,Avril 2023,Les Bourgeoises,Astrid Eliard,False
920,Avril 2023,"Le Bureau des Affaires occultes, tome 2 : Le fantôme du vicaire",Éric Fouassier,False
921,Avril 2023,C'est encore loin le bonheur ?,Amélie Baumann,False
922,Avril 2023,"Le chat du bibliothécaire, tome 5 : Admiration funeste",Miranda James,False
923,Avril 2023,La Claque,Nicolas Robin,False
924,Avril 2023,Dans les profondeurs du temps,Adrian Tchaikovsky,False
925,Avril 2023,Le Déshonneur des Montergnac,Isabelle Buffet,False
926,Avril 2023,Les derniers jours des fauves,Jérôme Leroy,False
927,Avril 2023,Deux cigarettes dans le noir,Julien Dufresne-Lamy,False
928,Avril 2023,Deux femmes et un jardin,Anne Guglielmetti,False
929,Avril 2023,La diagonale Alekhine,Arthur Larrue,False
930,Avril 2023,Les dix mille portes de January,Alix E. Harrow,False
931,Avril 2023,Les dominos de la vie,Laure Manel,False
932,Avril 2023,En attendant Dogo,Jean-Bernard Pouy,False
933,Avril 2023,Les Enfants véritables,Thibault Bérard,False
934,Avril 2023,Envoyé un peu spécial,Julien Blanc-Gras,False
935,Avril 2023,Ernetti et le voyage interdit,Roland Portiche,False
936,Avril 2023,Et la vie reprit à petites foulées,Giulia Larigaldie,False
937,Avril 2023,Et que quelqu'un vous tende la main,Carène Ponte,False
938,Avril 2023,Les Exilées de Troie,Pat Barker,False
939,Avril 2023,Faux témoin,Karin Slaughter,False
940,Avril 2023,Fenêtre sur terre,Franck Bouysse,False
941,Avril 2023,Les filles qui mentent,Eva Björg Ægisdóttir,False
942,Avril 2023,Héloïse,Ophélie Cohen,False
943,Avril 2023,Hildegarde,Léo Henry,False
944,Avril 2023,Humeur noire,Anne-Marie Garat,False
945,Avril 2023,Les Incandescentes,C. J. Tudor,False
946,Avril 2023,Le jeudi suivant,Richard Osman,False
947,Avril 2023,Je suis le feu,Max Monnehay,False
948,Avril 2023,Les Larmes du Reich,François Médéline,False
949,Avril 2023,Léonie,Marlène Charine,False
950,Avril 2023,La Librairie des rêves ensevelis,Madeline Martin,False
951,Avril 2023,L'inoubliable voyage de miss Benson,Rachel Joyce,False
952,Avril 2023,Lucia,Bernard Minier,False
953,Avril 2023,"Lore Olympus, tome 1",Rachel Smythe,False
954,Avril 2023,"Lore Olympus, tome 2",Rachel Smythe,False
955,Avril 2023,Maison Atlas,Alice Kaplan,False
956,Avril 2023,Mamma Roma,Luca Di Fulvio,False
957,Avril 2023,Le Manoir aux roses,Tracy Rees,False
958,Avril 2023,Méfiez-vous des anges,Olivier Bal,False
959,Avril 2023,Melmoth furieux,Sabrina Calvo,False
960,Avril 2023,"Merci, Grazie, Thank you",Julien Sandrel,False
961,Avril 2023,Mon maître et mon vainqueur,François-Henri Désérable,False
962,Avril 2023,La Monture,Carol Emshwiller,False
963,Avril 2023,Le Mystère de la Fresque maudite,Chiara Montani,False
964,Avril 2023,Noa,Marc Levy,False
965,Avril 2023,Le Nouveau,Keigo Higashino,False
966,Avril 2023,Les Nuits Solidor,Charlotte Duthoo,False
967,Avril 2023,Le Parfum des cendres,Marie Mangez,False
968,Avril 2023,La Pie voleuse,Elizabeth Day,False
969,Avril 2023,La princesse au petit moi,Jean-Christophe Rufin,False
970,Avril 2023,Quand je reviendrai,Marco Balzano,False
971,Avril 2023,Les Racines de la Vengeance,Charlotte Link,False
972,Avril 2023,La réfugiée,Rabih Alameddine,False
973,Avril 2023,Les Rites de l'eau,Eva García Saenz de Urturi,False
974,Avril 2023,La Rivière,Peter Heller,False
975,Avril 2023,Les routes oubliées,S. A. Cosby,False
976,Avril 2023,Sainte Marguerite-Marie et moi,Clémentine Beauvais,False
977,Avril 2023,Scarlett,François-Guillaume Lorrain,False
978,Avril 2023,Le sens de nos pas,Claire Norton,False
979,Avril 2023,Le Silence des repentis,Kimi Cunningham Grant,False
980,Avril 2023,Sinestra,Armelle Carbonel,False
981,Avril 2023,Les Sirènes d'Es Vedrá,Tom Charbit,False
982,Avril 2023,Les souvenirs et les mensonges aussi...,Karine Lebert,False
983,Avril 2023,Stella,Takis Würger,False
984,Avril 2023,Le Syndrome du canal carpien,John Boyne,False
985,Avril 2023,Terra Alta,Javier Cercas,False
986,Avril 2023,The Good Girls,Sonia Faleiro,False
987,Avril 2023,Time Corridor,Dahlia Perez,False
988,Avril 2023,Les trois vies de Suzana Baker,Philippe Amar,False
989,Avril 2023,666,Jérémy Wulc,False
990,Mai 2023,1800 : La Main de sang,Tristan Mathieu,False
991,Mai 2023,Abandonner un chat : Souvenirs de mon père,Haruki Murakami,False
992,Mai 2023,Absolution,Yrsa Sigurdardottir,False
993,Mai 2023,L'Amour des grands,Caroline Michel,False
994,Mai 2023,L'Antre des louves,Elodie Harper,False
995,Mai 2023,Au prochain arrêt,Hiro Arikawa,False
996,Mai 2023,L'autre moitié du monde,Laurine Roux,False
997,Mai 2023,Avec joie et docilité,Johanna Sinisalo,False
998,Mai 2023,Beatrice,Lina Bengtsdotter,False
999,Mai 2023,Béni soit le père,Rosa Ventrella,False
1000,Mai 2023,Bestial,Anouk Shutterberg,False
1001,Mai 2023,La Bibliothèque des rêves secrets,Michiko Aoyama,False
1002,Mai 2023,"Bretzel & beurre salé, tome 3 : L'habit ne fait pas le moine",Margot et Jean Le Moal,False
1003,Mai 2023,"The bone season, tome 3 : Le chant se lève",Samantha Shannon,False
1004,Mai 2023,Les Bruits du souvenir,Sophie Astrabie,False
1005,Mai 2023,Célestopol 1922,Emmanuel Chastellière,False
1006,Mai 2023,Celle qui ne pardonnait pas,Christophe Vasse,False
1007,Mai 2023,La chronique des Bridgerton : La reine Charlotte,Julia Quinn,False
1008,Mai 2023,"Les chroniques de Bond Street, tome 1 : Lady Fortescue à la rescousse - Miss Tonks prend son envol",M.C. Beaton,False
1009,Mai 2023,La Cité hantée,Douglas Preston,False
1010,Mai 2023,Connemara,Nicolas Mathieu,False
1011,Mai 2023,D'audace et de liberté,Akli Tadjer,False
1012,Mai 2023,De nouveaux endroits,Lucile Génin,False
1013,Mai 2023,Duchess,Chris Whitaker,False
1014,Mai 2023,Écoute la pluie tomber,Olivia Ruiz,False
1015,Mai 2023,Et ces êtres sans pénis !,Chahdortt Djavann,False
1016,Mai 2023,L'étoile de la liberté,Oriane Lapouge,False
1017,Mai 2023,Frakas,Thomas Cantaloube,False
1018,Mai 2023,Gabrielle ou les infortunes de la vertu,Catherine Delors,False
1019,Mai 2023,Le Gosse,Véronique Olmi,False
1020,Mai 2023,La Grande Traversée,Shion Miura,False
1021,Mai 2023,Le Guerrier de porcelaine,Mathias Malzieu,False
1022,Mai 2023,L'Île aux arbres disparus,Elif Shafak,False
1023,Mai 2023,Il nous restera ça,Virginie Grimaldi,False
1024,Mai 2023,L'invité(e) de trop,Lucy Foley,False
1025,Mai 2023,Jeu d'enfant,Danielle Steel,False
1026,Mai 2023,"Lazare en guerre, tome 1 : L'artefact",Jamie Sawyer,False
1027,Mai 2023,Le livre des heures,Anne Delaflotte Mehdevi,False
1028,Mai 2023,Le livre du désert,Mo Hayder,False
1029,Mai 2023,Labyrinthes,Franck Thilliez,False
1030,Mai 2023,Le Magasin des souvenirs : Charlotte & Anna (L'Ambition du bonheur),Katharina Fuchs,False
1031,Mai 2023,La main de Dieu,Valerio Varesi,False
1032,Mai 2023,La Maison poussière,Valérie Péronnet,False
1033,Mai 2023,Mémoires d'une fourmi,Bernard Werber,False
1034,Mai 2023,Mobylette,Frédéric Ploussard,False
1035,Mai 2023,"Moi, Julia",Santiago Posteguillo,False
1036,Mai 2023,Les Mystères de Fleat House,Lucinda Riley,False
1037,Mai 2023,Ms Alvarez et Wilfried Bosco : Les Ombres de Salem,Stéphane Galas,False
1038,Mai 2023,Omerta,R.J. Ellory,False
1039,Mai 2023,"Le Pays des autres, tome 2 : Regardez-nous danser",Leïla Slimani,False
1040,Mai 2023,Le plus beau lundi de ma vie tomba un mardi,Camille Andrea,False
1041,Mai 2023,Résine,Ane Riel,False
1043,Mai 2023,Les rêves qui nous restent,Boris Quercia,False
1044,Mai 2023,"La saga des Florio, tome 2 : Le Triomphe des lions",Stefania Auci,False
1045,Mai 2023,"La saga du Soleil noir, tome 5 : 669",Éric Giacometti,False
1046,Mai 2023,Sans loi ni maître,Arturo Pérez-Reverte,False
1047,Mai 2023,Sel,Jussi Adler-Olsen,False
1048,Mai 2023,Le silence des dieux,Yahia Belaskri,False
1049,Mai 2023,Les Sirènes de Malibu,Taylor Jenkins Reid,False
1050,Mai 2023,Soixante secondes de bonheur,Bruno Combes,False
1051,Mai 2023,Sorrowland,Rivers Solomon,False
1052,Mai 2023,The Spanish Love Deception,Elena Armas,False
1053,Mai 2023,Summit,Mo Malø,False
1054,Mai 2023,Suzuran,Aki Shimazaki,False
1055,Mai 2023,Tala Yuna,Charles Aubert,False
1056,Mai 2023,Tout ce qui est à toi brûlera,Will Dean,False
1057,Mai 2023,Traquenoir,Ed Lacy,False
1058,Mai 2023,Traqués,Adrian McKinty,False
1059,Mai 2023,Tu ne seras plus mon frère,Christian Blanchard,False
1060,Mai 2023,Une enquête de Beatrice Hyde-Clare : Une insolente curiosité,Lynn Messina,False
1061,Mai 2023,Un été à Nantucket,Elin Hilderbrand,False
1062,Mai 2023,Une femme juste,Jean-Guy Soumy,False
1063,Mai 2023,Un rhinocéros à Versailles,Alexandra de Broca,False
1064,Mai 2023,Un si bel horizon,Françoise Bourdin,False
1065,Mai 2023,La Valse des jours,Alizé Cornet,False
1066,Mai 2023,Vies et mort de Lucy Loveless,Laura Shepherd-Robinson,False
1067,Mai 2023,"La villa aux étoffes, tome 5 : Tempête sur la villa aux étoffes",Anne Jacobs,False
1068,Mai 2023,Voilà les anges,Cali,False
1069,Mai 2023,"Les Voyageurs, tome 2 : Libration",Becky Chambers,False
1070,Septembre 2023,À la mesure de nos silences,Sophie Loubière,False
1071,Septembre 2023,L'Affaire du siècle,Mariah Fredericks,False
1072,Septembre 2023,L'air était tout en feu,Camille Pascal,False
1073,Septembre 2023,L'Archipel des oubliés,Nicolas Beuglet,False
1074,Septembre 2023,Au café de la ville perdue,Anaïs Llobet,False
1075,Septembre 2023,Avant les années terribles,Victor del Arbol,False
1076,Septembre 2023,Avec Bas Jan Ader,Thomas Giraud,False
1077,Septembre 2023,L'Avenir,Catherine Leroux,False
1078,Septembre 2023,"La Ballade de Pern - Intégrale, tome 4",Anne McCaffrey,False
1079,Septembre 2023,"The Bone season, tome 4 : Le masque tombe",Samantha Shannon,False
1080,Septembre 2023,Le Café du temps retrouvé,Toshikazu Kawaguchi,False
1081,Septembre 2023,"Capitale du Sud, tome 2 : Trois lucioles",Guillaume Chamanadjian,False
1082,Septembre 2023,Ce que nous désirons le plus,Caroline Laurent,False
1083,Septembre 2023,Le Chant d'Haïganouch,Ian Manook,False
1084,Septembre 2023,"Les Chroniques de Bond Street, tome 2 : La Disgrâce de Mrs Budley - Sir Philip perd la tête",M.C. Beaton,False
1085,Septembre 2023,Le Coeur des louves,Stéphane Servant,False
1086,Septembre 2023,Les Colliers de feu,Femi Kayode,False
1087,Septembre 2023,Les Contreforts,Guillaume Sire,False
1088,Septembre 2023,Les Couleurs du destin,Mireille Pluchard,False
1089,Septembre 2023,Le Cuisinier de l'Alcyon,Andrea Camilleri,False
1090,Septembre 2023,"Daevabad, tome 3 : L'Empire d'or",S.A. Chakraborty,False
1091,Septembre 2023,Dans mon coeur à jamais,Narinai Abgaryan,False
1092,Septembre 2023,Débarquer,Hugo Boris,False
1093,Septembre 2023,La Déesse et le Marchand,Amitav Ghosh,False
1094,Septembre 2023,La Déraison,Agnès Martin-Lugand,False
1095,Septembre 2023,Des hommes sans nom,Marc Victor,False
