video_id,title,description,published_at,channel_title
2TM-ZAiogrs,"J&#39;AI RENCONTRÉ UN ANGE - CLINTON JOSHUA, CHINENYE NNEBE – DERNIER FILM NIGÉRIAN EN FRANÇAIS",CE CHEF-D'ŒUVRE ÉTONNANT EST TELLEMENT HILARANT QUE VOUS OUBLIEREZ VOS SOUCIS... TRÈS DRÔLE ET ...,2024-12-27T16:00:05Z,Uchenna Mbunabo French Tv
bF-3RL4Kmm0,Nouveau livre 🤗 Coloriage mystère Disney tome 3 - 32,,2023-02-28T21:24:58Z,nads_colo
Z_CZeDTftoE,Mon nouveau livre est sorti #anticancer #octobrerose #anticancer #recette,,2023-10-03T12:04:02Z,Histoire de se régaler - Guillaume Marinette
L6kRYDhCsyY,Retrouvez mon nouveau livre « Réapprenez à dormir » sur Amazon et toutes vos librairies !,,2023-01-25T11:57:35Z,Pr.philip
M_H20GSCAYc,Découvrez mon nouveau livre ! #autrice,,2023-10-09T15:21:09Z,Orchad
L3q_aBoW8VI,Le Nouveau Livre de Développement Personnel Best-seller - Riche &amp; Spirituel - Grégory Vivas,Le Nouveau Livre de Développement Personnel Best-seller - Riche & Spirituel - Grégory Vivas DEROULES LA BARRE POUR ...,2022-10-31T09:23:24Z,Grégory Vivas - Riche & Spirituel
dmQioBg8jT4,ouvrir un nouveau livre,,2023-10-04T11:39:13Z,Cam Summers
vZmCrpOln70,Nouveau livre cet automne 🍁 #aquarelle #peinture #illustrationjeunesse #albumjeunesse #livre,,2023-09-03T19:33:17Z,nuage blanc
bB3_aFyBt88,"Nouveau livre, 12 trains de vie, collectif auteurs sur Amazon ou en dédicaces #shorts #short #livre",,2023-11-20T10:22:33Z,Sèverine Mazières - Mots Nés d'Échanges
xJdanqFMsnY,Les LIVRES que j&#39;aimerais lire en 2023 📚✨,"Salut salut ma team Jeannot, j'espère que vous allez bien et que votre début d'année est top of the pop. De mon côté j'ai enfin ...",2023-01-14T09:00:28Z,Jeannot se livre
KlSQLglLAtE,"Mon nouveau livre, déjà #1!!",,2023-09-20T16:44:49Z,Dr Jean-Michel Cohen
40IZ7A1HtCo,Mon nouveau livre Les Terriers de Souffle-Vent sort bientôt😍 #albumjeunesse #illustration #peinture,,2023-09-26T19:37:54Z,nuage blanc
OVeXtgoE9kQ,Nouveau livre dans la bibliothèque #bookhaul #booktube #booktubefrance,,2023-03-17T12:09:41Z,La citadelle de mes lectures
