,Mois,Titre,parutions,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,in_youtube,nb_youtube,Auteur
1775,Septembre 2023,"the bone season, tome 4 : le masque tombe",1.0,,,,,,,,,,,,,,,,Samantha Shannon
1777,Octobre 2021,"the expanse, tome 7 : le soulèvement de persépolis",1.0,,,,,,,,,,,,,,,,James S.A. Corey
1778,Octobre 2023,"the expanse, tome 9 : la chute du léviathan",1.0,,,,,,,,,,,,,,,,James S.A. Corey
1779,Avril 2023,the good girls,1.0,,,,,,,,,,,,,,,,Sonia Faleiro
1785,Mai 2023,the spanish love deception,1.0,,,,,,,,,,,,,,,,Elena Armas
1787,Avril 2023,time corridor,1.0,,,,,,,,,,,,,,,,Dahlia Perez
1788,Septembre 2023,time salvager,1.0,,,,,,,,,,,,,,,,Wesley Chu
1790,Janvier 2023,ton absence n'est que ténèbres,1.0,0.0,0.0,0.0,,,0.0,,,1.0,Livre adulte,367.0,6.0,1.0,0.0,0.0,Jón Kalman Stefánsson
1791,Mars 2021,tous les hommes n'habitent pas le monde de la même façon,1.0,0.0,0.0,0.0,,,0.0,2019.0,Prix Goncourt,1.0,,,,0.0,0.0,0.0,Jean-Paul Dubois
1793,Février 2021,tous tes enfants dispersés,1.0,,,,,,,,,,,,,,,,Beata Umubyeyi Mairesse
1794,Août-Octobre 2023,tout blanc,1.0,,,,,,,,,,,,,,,,Frédéric Ploussard
1795,Découverte Rentrée 2022,tout ce que dit manon est vrai,1.0,,,,,,,,,,,,,,,,Manon Fargetton
1796,Mai 2023,tout ce qui est à toi brûlera,1.0,,,,,,,,,,,,,,,,Will Dean
1797,Août-Octobre 2023,tout ce qui manque,1.0,,,,,,,,,,,,,,,,Florent Oiseau
1799,Octobre 2021,tout ira bien,1.0,,,,,,,,,,,,,,,,Damian Barr
1800,Mars 2022,tout peut s'oublier,1.0,,,,,,,,,,,,,,,,Olivier Adam
1801,Avril 2021,tout quitter,1.0,,,,,,,,,,,,,,,,Anaïs Vanel
1802,Novembre 2023,toute la famille ensemble,1.0,,,,,,,,,,,,,,,,Xavier de Moulins
1803,Novembre 2023,toute mon histoire : carnets de vie et de musique,1.0,,,,,,,,,,,,,,,,Dave Grohl
1804,Novembre 2022,toutes ces vies jamais vécues,1.0,,,,,,,,,,,,,,,,Anuradha Roy
1805,Mars 2021,toutes les familles heureuses,1.0,,,,,,,,,,,,,,,,Hervé Le Tellier
1806,Mai 2021,toutes les saveurs,1.0,,,,,,,,,,,,,,,,Ken Liu
1807,Mai 2023,traquenoir,1.0,,,,,,,,,,,,,,,,Ed Lacy
1808,Mai 2023,traqués,1.0,,,,,,,,,,,,,,,,Adrian McKinty
1813,Rentrée 2022,trois soeurs,1.0,,,,,,,,,,,,,,,,Laura Poggioli
1815,Octobre 2023,trop de morts au pays des merveilles,1.0,,,,,,,,,,,,,,,,Morgan Audic
1817,Octobre 2021,trouble,1.0,,,,,,,,,,,,,,,,Jeroen Olyslaegers
1818,Rentrée 2022,trouver refuge,1.0,,,,,,,,,,,,,,,,Christophe Ono-dit-Biot
1819,Découverte Rentrée 2022,true story,1.0,,,,,,,,,,,,,,,,Kate Reed Petty
1820,Août-Octobre 2023,trust,1.0,,,,,,,,,,,,,,,,Hernán Diaz
1821,Rentrée 2023,tu la retrouveras,1.0,,,,,,,,,,,,,,,,Jean Hatzfeld
1822,Mai 2023,tu ne seras plus mon frère,1.0,,,,,,,,,,,,,,,,Christian Blanchard
1823,Février 2021,tuer le fils,1.0,,,,,,,,,,,,,,,,Benoît Séverac
1825,Rentrée 2023,tumeur ou tutu,1.0,,,,,,,,,,,,,,,,Léna Ghar
1827,Août 2021,ténèbre,1.0,,,,,,,,,,,,,,,,Paul Kawczak
1828,Mars 2022,térébenthine,1.0,,,,,,,,,,,,,,,,Carole Fives
1829,Février 2021,tétraméron,1.0,,,,,,,,,,,,,,,,José Carlos Somoza
1830,Novembre 2022,ultime preuve d'amour,1.0,,,,,,,,,,,,,,,,Michel Canesi
1832,Mai 2021,un assassin parmi  nous,1.0,,,,,,,,,,,,,,,,Shari Lapena
1833,Août 2021,un automne de flaubert,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix François-Mauriac,1.0,,,,0.0,0.0,0.0,Alexandre Postel
1835,Août 2021,un crime sans importance,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix Interallié,1.0,,,,0.0,0.0,0.0,Irène Frain
1836,Août-Octobre 2023,un empêchement,1.0,,,,,,,,,,,,,,,,Jérôme Aumont
1837,Mars 2023,un grain de moutarde,1.0,,,,,,,,,,,,,,,,Laila Ibrahim
1839,Octobre 2022,un héros pour noël,1.0,,,,,,,,,,,,,,,,Lisa Kleypas
1840,Octobre 2023,un indien qui dérange,1.0,,,,,,,,,,,,,,,,Thomas King
1841,Janvier 2023,un jardin de mensonges,1.0,,,,,,,,,,,,,,,,Susan Fletcher
1842,Rentrée 2022,un jeune homme si tranquille,1.0,,,,,,,,,,,,,,,,Yves Viollier
1843,Janvier 2022,un jour ce sera vide,1.0,0.0,0.0,0.0,,,0.0,2021.0,Prix du Livre Inter,1.0,,,,0.0,0.0,0.0,Hugo Lindenberg
1845,Octobre 2021,un long silence,1.0,,,,,,,,,,,,,,,,Mikal Gilmore
1846,Avril 2022,un long voyage,1.0,,,,,,,,,,,,,,,,Claire Duvivier
1847,Janvier 2022,un loup quelque part,1.0,,,,,,,,,,,,,,,,Amélie Cordonnier
1848,Rentrée 2022,un miracle,1.0,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,70.0,60.0,1.0,1.0,5.0,Victoria Mas
1849,Août-Octobre 2023,un monde de ciel et de terre,1.0,,,,,,,,,,,,,,,,Aleksandar Hemon
1850,Septembre 2023,un monde merveilleux,1.0,,,,,,,,,,,,,,,,Paul Colize
1851,Février 2022,"un monstre est là, derrière la porte",1.0,0.0,0.0,0.0,,,0.0,2020.0,Grand prix du roman métis,1.0,,,,0.0,0.0,0.0,Gaëlle Bélem
1852,Novembre 2022,un noël à eaton square,1.0,,,,,,,,,,,,,,,,Anne Perry
1854,Avril 2021,un oiseau de nuit à buckingham,1.0,,,,,,,,,,,,,,,,David Lelait-Helo
1855,Mai 2022,un peu plus d'amour que d'ordinaire,1.0,,,,,,,,,,,,,,,,Emily Blaine
1856,Mars 2021,un poisson sur la lune,1.0,,,,,,,,,,,,,,,,David Vann
1858,Mars 2023,un prénom en trop,1.0,,,,,,,,,,,,,,,,Christophe Carlier
1859,Novembre 2022,un reflet de lune,1.0,,,,,,,,,,,,,,,,Estelle Faye
1860,Mai 2023,un rhinocéros à versailles,1.0,,,,,,,,,,,,,,,,Alexandra de Broca
1861,Septembre 2023,un royaume de chair et de feu,1.0,,,,,,,,,,,,,,,,Jennifer L. Armentrout
1862,Mai 2023,un si bel horizon,1.0,,,,,,,,,,,,,,,,Françoise Bourdin
1863,Janvier 2023,un si joli nulle part,1.0,,,,,,,,,,,,,,,,Alexis Schaitkin
1864,Rentrée 2022,un singe à ma fenêtre,1.0,,,,,,,,,,,,,,,,Olivia Rosenthal
1865,Mai 2022,un soupçon de liberté,1.0,,,,,,,,,,,,,,,,Margaret Wilkerson Sexton
1866,Mars 2023,un tesson d'éternité,1.0,,,,,,,,,,,,,,,,Valérie Tong Cuong
1867,Octobre 2022,un tueur sur mesure,1.0,,,,,,,,,,,,,,,,Sam Millar
1868,Septembre 2023,un étranger en olondre,1.0,,,,,,,,,,,,,,,,Sofia Samatar
1870,Mai 2023,un été à nantucket,1.0,,,,,,,,,,,,,,,,Elin Hilderbrand
1871,Février 2021,un(e)secte,1.0,,,,,,,,,,,,,,,,Maxime Chattam
1873,Mai 2021,une année sous silence,1.0,,,,,,,,,,,,,,,,Jean-Paul Dubois
1874,Novembre 2023,une ascension,1.0,,,,,,,,,,,,,,,,Stefan Hertmans
1875,Octobre 2023,une aventure de nora kelly : l'antre du diable,1.0,,,,,,,,,,,,,,,,Douglas Preston
1877,Novembre 2022,une bonne raison de se tuer,1.0,,,,,,,,,,,,,,,,Philippe Besson
1878,Février 2021,une bête au paradis,1.0,0.0,0.0,0.0,,,0.0,2019.0,Prix littéraire du Monde,1.0,,,,0.0,0.0,0.0,Cécile Coulon
1879,Découverte Rentrée 2022,une certaine raison de vivre,1.0,,,,,,,,,,,,,,,,Philippe Torreton
1880,Octobre 2021,une chance sur un milliard,1.0,,,,,,,,,,,,,,,,Gilles Legardinier
1881,Octobre 2023,une chose à cacher,1.0,,,,,,,,,,,,,,,,Elizabeth George
1882,Octobre 2022,une cosmologie de monstres,1.0,,,,,,,,,,,,,,,,Shaun Hamill
1883,Mai 2023,une enquête de beatrice hyde-clare : une insolente curiosité,1.0,,,,,,,,,,,,,,,,Lynn Messina
1884,Octobre 2023,une enquête de beatrice hyde-clare : une scandaleuse supercherie,1.0,,,,,,,,,,,,,,,,Lynn Messina
1885,Septembre 2023,une enquête de washington poe : le cercle de pierres,1.0,,,,,,,,,,,,,,,,M.W. Craven
1886,Août-Octobre 2023,une façon d'aimer,1.0,0.0,0.0,0.0,,,0.0,2023.0,Grand prix du roman de l'Académie française,1.0,,,,0.0,0.0,0.0,Dominique Barbéris
1887,Mai 2023,une femme juste,1.0,,,,,,,,,,,,,,,,Jean-Guy Soumy
1888,Août 2021,une fille sans histoire,1.0,,,,,,,,,,,,,,,,Constance Rivière
1889,Rentrée 2022,une heure de ferveur,1.0,,,,,,,,,,,,,,,,Muriel Barbery
1890,Février 2021,une histoire de france,1.0,,,,,,,,,,,,,,,,Joffrine Donnadieu
1891,Octobre 2023,une histoire naturelle de l'amour et de la mort,1.0,,,,,,,,,,,,,,,,Margaret Renkl
1892,Août-Octobre 2023,une histoire romaine,1.0,,,,,,,,,,,,,,,,Louis-Philippe Dalembert
1894,Août-Octobre 2023,une journée de chien,1.0,,,,,,,,,,,,,,,,Sander Kollaard
1896,Août 2021,une machine comme moi,1.0,,,,,,,,,,,,,,,,Ian McEwan
1897,Mars 2023,une ombre familière,1.0,,,,,,,,,,,,,,,,Amy Engel
1898,Février 2023,une pluie de septembre,1.0,,,,,,,,,,,,,,,,Anna Bailey
1899,Novembre 2023,une question de mort et de vie,1.0,,,,,,,,,,,,,,,,Irvin D. Yalom
1900,Mai 2022,une rose seule,1.0,,,,,,,,,,,,,,,,Muriel Barbery
1902,Avril 2022,une soif de livres et de liberté,1.0,,,,,,,,,,,,,,,,Janet Skeslien Charles
1903,Découverte Rentrée 2022,une soupe à la grenade,1.0,,,,,,,,,,,,,,,,Marsha Mehran
1904,Janvier 2022,une terre promise,1.0,,,,,,,,,,,,,,,,Barack Obama
1906,Septembre 2023,une vie en échange,1.0,,,,,,,,,,,,,,,,Lorraine Fouchet
1907,Avril 2021,une vie entre les pages,1.0,,,,,,,,,,,,,,,,Cristina Caboni
1909,Mai 2022,une voisine encombrante,1.0,,,,,,,,,,,,,,,,Shari Lapena
1910,Mars 2023,une vérité changeante,1.0,,,,,,,,,,,,,,,,Gianrico Carofiglio
1911,Septembre 2023,une écharpe dans la neige,1.0,,,,,,,,,,,,,,,,Viveca Sten
1912,Mai 2021,une étincelle de vie,1.0,,,,,,,,,,,,,,,,Jodi Picoult
1913,Janvier 2022,unorthodox,1.0,,,,,,,,,,,,,,,,Deborah Feldman
1914,Novembre 2023,v2,1.0,,,,,,,,,,,,,,,,Robert Harris
1915,Avril 2021,va où le vent te berce,1.0,,,,,,,,,,,,,,,,Sophie Tal Men
1916,Septembre 2023,valse fauve,1.0,,,,,,,,,,,,,,,,Pénélope Rose
1917,Octobre 2023,"valsez, regrets",1.0,,,,,,,,,,,,,,,,Marion Michau
1918,Août-Octobre 2023,veiller sur elle,1.0,1.0,1.0,1.0,2.0,,0.0,2023.0,Prix Goncourt,1.0,,,,0.0,0.0,0.0,Jean-Baptiste Andrea
1919,Découverte Rentrée 2022,"vent blanc, noir cavalier",1.0,,,,,,,,,,,,,,,,Luke Rhinehart
1921,Rentrée 2022,vers la violence,1.0,0.0,0.0,0.0,,,0.0,2023.0,Grand prix des lectrices de Elle,1.0,,,,0.0,0.0,0.0,Blandine Rinkel
1922,Rentrée 2023,victory city,1.0,,,,,,,,,,,,,,,,Salman Rushdie
1923,Novembre 2023,vie à vendre,1.0,,,,,,,,,,,,,,,,Yukio Mishima
1924,Rentrée 2023,vierge,1.0,,,,,,,,,,,,,,,,Constance Rutherford
1925,Mai 2023,vies et mort de lucy loveless,1.0,,,,,,,,,,,,,,,,Laura Shepherd-Robinson
1926,Découverte Rentrée 2022,villebasse,1.0,,,,,,,,,,,,,,,,Anna de Sandre
1927,Mai 2021,vindicta,1.0,,,,,,,,,,,,,,,,Cédric Sire
1928,Octobre 2023,vingt minutes de silence,1.0,,,,,,,,,,,,,,,,Hélène Bessette
1931,Août-Octobre 2023,visite,1.0,,,,,,,,,,,,,,,,Li-Cam
1933,Octobre 2023,vivonne,1.0,0.0,0.0,0.0,,,0.0,2022.0,Grand prix de l'Imaginaire,1.0,,,,0.0,1.0,1.0,Jérôme Leroy
1937,Janvier 2022,vladivostok circus,1.0,,,,,,,,,,,,,,,,Elisa Shua Dusapin
1938,Mai 2023,voilà les anges,1.0,,,,,,,,,,,,,,,,Cali
1939,Septembre 2022,"vorrh, tome 1",1.0,,,,,,,,,,,,,,,,Brian Catling
1940,Octobre 2023,"vorrh, tome 2 : les ancêtres",1.0,,,,,,,,,,,,,,,,Brian Catling
1941,Octobre 2021,vous n'aurez pas les enfants,1.0,,,,,,,,,,,,,,,,Valerie Portheret
1942,Août-Octobre 2023,vous ne connaissez rien de moi,1.0,,,,,,,,,,,,,,,,Julie Héraclès
1943,Octobre 2022,vous reprendrez bien un peu de magie pour noël ?,1.0,,,,,,,,,,,,,,,,Carène Ponte
1944,Janvier 2023,voyage au bout de l'enfance,1.0,,,,,,,,,,,,,,,,Rachid Benzine
1945,Découverte Rentrée 2022,vrac,1.0,,,,,,,,,,,,,,,,Bertrand Belin
1946,Août-Octobre 2023,western,1.0,0.0,0.0,0.0,,,0.0,2023.0,Prix de Flore,1.0,,,,0.0,1.0,3.0,Maria Pourchet
1947,Août-Octobre 2023,william,1.0,,,,,,,,,,,,,,,,Stéphanie Hochet
1950,Mars 2022,yardam,1.0,,,,,,,,,,,,,,,,Aurélie Wellenstein
1951,Septembre 2022,yoga,1.0,,,,,,,,,,,,,,,,Emmanuel Carrère
1954,Rentrée 2022,zizi cabane,1.0,,,,,,,,,,,,,,,,Bérengère Cournut
1955,Septembre 2021,zof 1945,1.0,,,,,,,,,,,,,,,,Jean-Christophe Berthain
1956,Septembre 2023,zoomania,1.0,,,,,,,,,,,,,,,,Abby Geni
1957,Février 2021,à cache-cache,1.0,,,,,,,,,,,,,,,,M. J. Arlidge
1959,Mai 2021,à dos de crocodile,1.0,,,,,,,,,,,,,,,,Greg Egan
1960,Mars 2023,à l'adresse du bonheur,1.0,,,,,,,,,,,,,,,,Lorraine Fouchet
1961,Janvier 2022,à l'autre bout de la mer,1.0,,,,,,,,,,,,,,,,Giulio Cavalli
1962,Octobre 2021,"à la folie, pas du tout",1.0,,,,,,,,,,,,,,,,M. J. Arlidge
1964,Mars 2022,à la lumière de nos jours,1.0,,,,,,,,,,,,,,,,Clarisse Sabard
1965,Septembre 2023,à la mesure de nos silences,1.0,,,,,,,,,,,,,,,,Sophie Loubière
1966,Septembre 2022,à la racine du mal,1.0,,,,,,,,,,,,,,,,Ann Granger
1968,Août-Octobre 2023,à ma soeur et unique,1.0,,,,,,,,,,,,,,,,Guy Boley
1970,Janvier 2021,à pas de loup,1.0,,,,,,,,,,,,,,,,Isabelle Villain
1971,Rentrée 2023,à pied d'oeuvre,1.0,,,,,,,,,,,,,,,,Franck Courtès
1974,Avril 2022,à vif,1.0,,,,,,,,,,,,,,,,René Manzor
1975,Mai 2021,âme brisée,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix des libraires,1.0,,,,0.0,0.0,0.0,Akira Mizubayashi
1976,Janvier 2021,ça va changer avec vous !  il est temps d'être écolos et fiers de l'être,1.0,,,,,,,,,,,,,,,,Julien Vidal
1978,Mai 2022,échange : loft londonien contre cottage bucolique,1.0,,,,,,,,,,,,,,,,Beth O'Leary
1979,Mai 2023,écoute la pluie tomber,1.0,,,,,,,,,,,,,,,,Olivia Ruiz
1982,Janvier 2021,éden,1.0,,,,,,,,,,,,,,,,Monica Sabolo
1983,Août-Octobre 2023,étraves,1.0,,,,,,,,,,,,,,,,Sylvain Coher
1984,Septembre 2022,être un homme,1.0,,,,,,,,,,,,,,,,Nicole Krauss
