,Mois,Titre,parutions,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,in_youtube,nb_youtube,Auteur
1541,Mars 2021,par les routes,1.0,0.0,0.0,0.0,,,0.0,2019.0,Prix Femina,1.0,,,,0.0,1.0,1.0,Sylvain Prudhomme
1542,Août 2021,par les écrans du monde,1.0,,,,,,,,,,,,,,,,Fanny Taillandier
1543,Août-Octobre 2023,par-delà l'oubli,1.0,,,,,,,,,,,,,,,,Aurélien Cressely
1545,Septembre 2023,paradis,1.0,,,,,,,,,,,,,,,,Abdulrazak Gurnah
1546,Février 2023,parce que les fleurs sont blanches,1.0,,,,,,,,,,,,,,,,Gerbrand Bakker
1547,Août 2021,paria,1.0,,,,,,,,,,,,,,,,Richard Krawiec
1548,Octobre 2023,paris se lève,1.0,,,,,,,,,,,,,,,,Armand Delpierre
1549,Octobre 2023,"paris, mille vies",1.0,,,,,,,,,,,,,,,,Laurent Gaudé
1550,Janvier 2023,paris-briançon,1.0,,,,,,,,,,,,,,,,Philippe Besson
1552,Septembre 2021,passeport diplomatique,1.0,,,,,,,,,,,,,,,,Gérard Araud
1553,Septembre 2022,passé déterré,1.0,,,,,,,,,,,,,,,,Clément Bouhélier
1554,Rentrée 2022,patte blanche,1.0,0.0,0.0,0.0,,,0.0,2023.0,Prix Françoise-Sagan,1.0,,,,0.0,0.0,0.0,Kinga Wyrzykowska
1556,Janvier 2022,paula ou personne,1.0,,,,,,,,,,,,,,,,Patrick Lapeyre
1557,Rentrée 2023,pauvre folle,1.0,,,,,,,,,,,,,,,,Chloé Delaume
1558,Janvier 2022,pays perdu,1.0,,,,,,,,,,,,,,,,Pierre Jourde
1559,Février 2022,peindre la pluie en couleurs,1.0,,,,,,,,,,,,,,,,Aurélie Tramier
1560,Rentrée 2022,performance,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix Renaudot,1.0,,,,0.0,1.0,18.0,Simon Liberati
1561,Août-Octobre 2023,perspective(s),1.0,,,,,,,,,,,,,,,,Laurent Binet
1562,Avril 2021,peter sagan : mon monde,1.0,,,,,,,,,,,,,,,,Peter Sagan
1563,Mars 2023,petiote,1.0,,,,,,,,,,,,,,,,Benoît Philippon
1564,Avril 2022,petite,1.0,,,,,,,,,,,,,,,,Edward Carey
1565,Novembre 2023,petite philosophie de l'improvisation,1.0,,,,,,,,,,,,,,,,Ibrahim Maalouf
1566,Rentrée 2022,petite soeur,1.0,,,,,,,,,,,,,,,,Marie Nimier
1567,Rentrée 2022,"petite, je disais que je voulais me marier avec toi",1.0,,,,,,,,,,,,,,,,Mehtap Teke
1568,Rentrée 2023,petites choses,1.0,,,,,,,,,,,,,,,,Benoît Coquil
1569,Octobre 2023,petits meurtres à endgame,1.0,,,,,,,,,,,,,,,,Alexandra Benedict
1570,Rentrée 2022,peupler la colline,1.0,,,,,,,,,,,,,,,,Cécilia Castelli
1571,Septembre 2023,peurs en eau profonde,1.0,,,,,,,,,,,,,,,,Olivier Descosse
1572,Rentrée 2023,phrase d'armes,1.0,,,,,,,,,,,,,,,,Paul Greveillac
1573,Octobre 2023,pipelines,1.0,,,,,,,,,,,,,,,,Etgar Keret
1574,Mars 2022,place aux immortels,1.0,,,,,,,,,,,,,,,,Patrice Quélard
1575,Découverte Rentrée 2022,plasmas,1.0,,,,,,,,,,,,,,,,Céline Minard
1576,Août 2021,pleines de grâce,1.0,,,,,,,,,,,,,,,,Gabriela Cabezón Cámara
1577,Rentrée 2023,pleins phares,1.0,,,,,,,,,,,,,,,,Clémentine Haenel
1578,Septembre 2021,plexiglas mon amour,1.0,,,,,,,,,,,,,,,,Eric Chauvier
1579,Août-Octobre 2023,plus jamais,1.0,,,,,,,,,,,,,,,,Megan Nolan
1581,Février 2022,plus loin que l'hiver,1.0,,,,,,,,,,,,,,,,Isabel Allende
1582,Février 2021,plutôt la fin du monde quune écorchure à mon doigt,1.0,,,,,,,,,,,,,,,,Paula Jacques
1583,Août-Octobre 2023,portrait huaco,1.0,,,,,,,,,,,,,,,,Gabriela Wiener
1586,Mars 2022,pour l'amour d'elena,1.0,,,,,,,,,,,,,,,,Yasmina Khadra
1587,Novembre 2023,pour l'honneur de tous les miens,1.0,,,,,,,,,,,,,,,,Amanda Skenandore
1588,Mars 2022,pour le sourire d'isabelle,1.0,,,,,,,,,,,,,,,,Fanny André
1589,Février 2023,pour quand tu seras grande,1.0,,,,,,,,,,,,,,,,Véronique Gallo
